id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage
11,SC Vocational Rehabilitation Department (SCVRD),employment,Statewide,"The South Carolina Vocational Rehabilitation Department helps South Carolinians with disabilities—including justice-involved individuals with qualifying disabilities—prepare for, obtain, and maintain employment through counseling, training, job placement, and employer partnerships at offices statewide. SCVRD coordinates with SC Works and SCDC reentry programs for disability employment supports after release from custody.","El Departamento de Rehabilitación Vocacional de Carolina del Sur ayuda a carolinenses con discapacidades—incluidas personas con antecedentes penales con discapacidades calificadas—a prepararse, obtener y mantener empleo a través de consejería, capacitación, colocación laboral y alianzas con empleadores. SCVRD coordina con SC Works y programas de reinserción de SCDC.",1410 Boston Avenue,West Columbia,1-800-832-7524,,https://scvrd.net,South Carolina residents with physical or mental disabilities that create employment barriers; eligibility determined through SCVRD assessment.,Residentes de Carolina del Sur con discapacidades físicas o mentales que crean barreras laborales; elegibilidad determinada por evaluación SCVRD.,Apply at scvrd.net or call 1-800-832-7524; area offices listed at scvrd.net/locations.,Solicite en scvrd.net o llame al 1-800-832-7524; oficinas de área en scvrd.net/locations.,State and regional offices Monday–Friday business hours,statewide|employment|SCVRD|disability|reentry|WIOA,Vocational counseling|Job placement|Skills training|Employer partnerships|Disability employment supports,Lexington,,statewide
12,SCDMH — Behavioral Health Services,healthcare,Statewide,"The South Carolina Department of Mental Health operates community mental health centers, crisis services, and substance use treatment programs serving all 46 counties. Justice-involved South Carolinians can access outpatient counseling, psychiatric services, and community-based treatment through local SCDMH centers—not emergency housing or benefits intake at the state office.","El Departamento de Salud Mental de Carolina del Sur opera centros comunitarios de salud mental, servicios de crisis y programas de tratamiento de uso de sustancias en los 46 condados. Los carolinenses con antecedentes penales pueden acceder a consejería ambulatoria, servicios psiquiátricos y tratamiento comunitario a través de centros locales SCDMH.",2414 Bull Street,Columbia,803-898-8581,,https://scdmh.net,South Carolina residents needing mental health or substance use services; intake through local community mental health centers.,Residentes de Carolina del Sur que necesiten servicios de salud mental o uso de sustancias; admisión a través de centros comunitarios locales.,Find your local center at scdmh.net; crisis line 833-364-2274; pairs with 988 for behavioral health emergencies.,Encuentre su centro local en scdmh.net; línea de crisis 833-364-2274; se vincula con 988 para emergencias de salud conductual.,Crisis services 24/7; clinic hours vary by center,statewide|healthcare|behavioral-health|SCDMH|crisis|reentry,Outpatient mental health|Psychiatric services|Substance use treatment|Crisis intervention|Community mental health centers,Richland,,statewide
13,SC CARES — Statewide Reentry Network,reentry-organizations,Statewide,"SC CARES is South Carolina's statewide community-based reentry network providing mentoring, case management, employment navigation, and life-skills support for justice-involved adults returning from SCDC custody and local jails. Regional SC CARES sites in Columbia, Charleston, Greenville, Florence, and Rock Hill coordinate with SCDPPPS agents, SC Works, and local housing partners. Direct reentry services—not a benefits application office.","SC CARES es la red estatal comunitaria de reinserción de Carolina del Sur que ofrece mentoría, manejo de casos, navegación de empleo y apoyo en habilidades de vida para adultos con antecedentes penales que regresan de custodia SCDC y cárceles locales. Los sitios regionales en Columbia, Charleston, Greenville, Florence y Rock Hill coordinan con agentes SCDPPPS y SC Works.","2711 Middleburg Drive, Suite 111",Columbia,803-708-4863,,https://sccares.org,Justice-involved South Carolina adults within 12 months of release or under community supervision; regional enrollment requirements vary.,Adultos de Carolina del Sur con antecedentes penales dentro de 12 meses de la liberación o bajo supervisión comunitaria; los requisitos de inscripción regional varían.,Visit sccares.org for regional site contacts; Columbia hub 803-708-4863; pairs with SCDPPPS and SC Works in each region.,Visite sccares.org para contactos de sitios regionales; centro de Columbia 803-708-4863; se vincula con SCDPPPS y SC Works en cada región.,Regional offices Monday–Friday business hours,statewide|reentry|SC-CARES|mentoring|employment|case-management,Reentry mentoring|Case management|Employment navigation|Life skills training|Regional reentry coordination,Richland,,statewide
14,SCDMV Online — ID & Driver Services,id-documentation,Statewide,"SCDMV Online at scdmvonline.com is South Carolina's portal for scheduling DMV appointments, renewing licenses, and obtaining identification documents needed for employment, housing, and benefits applications after release. Returning citizens can use branch locator tools and online services to replace lost IDs and restore driving privileges per SCDMV policy. ID and licensing services—not a legal aid or benefits office.","SCDMV Online en scdmvonline.com es el portal de Carolina del Sur para programar citas del DMV, renovar licencias y obtener documentos de identificación necesarios para empleo, vivienda y solicitudes de beneficios después de la liberación. Los ciudadanos que regresan pueden usar herramientas de localización de sucursales y servicios en línea para reemplazar identificaciones perdidas.",,,803-896-5000,,https://www.scdmvonline.com,"South Carolina residents seeking driver's licenses, state IDs, or vehicle registration; bring required identity documents per SCDMV checklist.","Residentes de Carolina del Sur que busquen licencias de conducir, identificaciones estatales o registro de vehículos; traiga documentos de identidad requeridos según lista SCDMV.",Schedule appointments at scdmvonline.com; call 803-896-5000; SCDC and county jail reentry staff may coordinate DMV visits before release.,Programe citas en scdmvonline.com; llame al 803-896-5000; el personal de reinserción de SCDC puede coordinar visitas al DMV antes de la liberación.,Online 24/7; branch hours vary,statewide|id-documentation|DMV|driver-license|reentry,State ID issuance|Driver license services|Appointment scheduling|Vehicle registration|Online DMV transactions,,,statewide
15,SC Department of Veterans' Affairs (SCDVA),veterans,Statewide,"The South Carolina Department of Veterans' Affairs helps honorably discharged and qualifying veterans and their families access VA benefits, disability claims, education benefits, and employment programs through county veterans service officers in all 46 counties. Justice-involved veterans can receive free benefits claims assistance and referrals to veteran treatment courts and SC CARES veteran tracks.","El Departamento de Asuntos de Veteranos de Carolina del Sur ayuda a veteranos con baja honorable o calificados y sus familias a acceder a beneficios VA, reclamaciones de discapacidad, beneficios educativos y programas de empleo a través de oficiales de servicios para veteranos del condado en los 46 condados.",1205 Pendleton Street,Columbia,803-734-0200,,https://scdva.sc.gov,Honorably discharged or qualifying South Carolina veterans and their dependents; service documentation required.,Veteranos de Carolina del Sur con baja honorable o calificados y sus dependientes; se requiere documentación de servicio.,Find your county veterans service office at scdva.sc.gov; free VA claims assistance at all 46 county offices.,Encuentre su oficina de servicios para veteranos del condado en scdva.sc.gov; asistencia gratuita con reclamaciones VA.,County offices Monday–Friday business hours,statewide|veterans|VA-benefits|reentry|justice-involved-veterans,VA benefits claims assistance|Disability claims navigation|Education benefit referrals|Veteran employment programs|County VSO coordination,Richland,,statewide
16,988 Suicide & Crisis Lifeline,healthcare,Statewide,"The 988 Suicide and Crisis Lifeline provides free, confidential 24/7 support for people in mental health, substance use, or suicidal crises across South Carolina. Callers are connected to trained counselors who can de-escalate emergencies, provide crisis counseling, and refer to local SCDMH centers and mobile crisis teams. Crisis support—not reentry housing or benefits intake.","La Línea de Crisis y Prevención del Suicidio 988 ofrece apoyo gratuito y confidencial 24/7 para personas en crisis de salud mental, uso de sustancias o suicidio en toda Carolina del Sur. Los llamantes se conectan con consejeros capacitados que pueden desescalar emergencias y referir a centros SCDMH locales.",,,988,,https://988lifeline.org,Anyone in the United States experiencing a mental health or suicidal crisis; Spanish-language support available.,Cualquier persona en Estados Unidos que experimente una crisis de salud mental o suicida; apoyo en español disponible.,Dial or text 988; chat at 988lifeline.org; veterans press 1; pairs with SCDMH crisis line 833-364-2274 for local follow-up.,Marque o envíe mensaje al 988; chat en 988lifeline.org; veteranos presione 1; se vincula con línea de crisis SCDMH 833-364-2274.,24/7,statewide|crisis|988|behavioral-health|hotline,Crisis counseling|Suicide prevention|Substance use crisis support|Local referral connections|Veterans crisis line,,,statewide
17,SAMHSA National Helpline,substance-use-treatment,Statewide,"The SAMHSA National Helpline at 1-800-662-4357 is a free, confidential, 24/7 treatment referral service connecting South Carolinians to local substance use disorder treatment providers, detox programs, and recovery support including justice-involved individuals seeking treatment after release. Referral specialists search by ZIP code and insurance status—not direct treatment at the helpline.","La Línea Nacional de Ayuda de SAMHSA al 1-800-662-4357 es un servicio gratuito y confidencial de referencia a tratamiento 24/7 que conecta a carolinenses con proveedores locales de trastornos por uso de sustancias, programas de desintoxicación y apoyo en recuperación incluidas personas con antecedentes penales.",,,1-800-662-4357,,https://www.samhsa.gov/find-help/national-helpline,Anyone in the United States seeking substance use treatment information and referrals; no insurance required to call.,Cualquier persona en Estados Unidos que busque información y referencias de tratamiento de uso de sustancias; no se requiere seguro para llamar.,Call 1-800-662-4357; TTY 1-800-487-4889; also use FindTreatment.gov for provider search; Spanish-language support available.,Llame al 1-800-662-4357; TTY 1-800-487-4889; también use FindTreatment.gov; apoyo en español disponible.,24/7,statewide|substance-use-treatment|SAMHSA|hotline|referral-only,Treatment referrals|Detox program navigation|Recovery support connections|Insurance guidance|Provider search assistance,,,statewide
18,FindTreatment.gov — Treatment Locator,substance-use-treatment,Statewide,"FindTreatment.gov is SAMHSA's official online locator for substance use disorder treatment facilities across South Carolina, searchable by location, treatment type, payment options, and services offered including outpatient, residential, and medication-assisted treatment. Justice-involved South Carolinians and SCDPPPS agents use the tool to identify certified providers accepting Medicaid or offering sliding-fee care near their county.","FindTreatment.gov es el localizador en línea oficial de SAMHSA para instalaciones de tratamiento de trastornos por uso de sustancias en Carolina del Sur, buscable por ubicación, tipo de tratamiento, opciones de pago y servicios ofrecidos. Los carolinenses con antecedentes penales y agentes SCDPPPS usan la herramienta para identificar proveedores certificados.",,,1-800-662-4357,,https://findtreatment.gov,Open to anyone seeking substance use treatment information; facility-specific eligibility applies at enrollment.,Abierto a cualquier persona que busque información de tratamiento de uso de sustancias; la elegibilidad específica de la instalación aplica al inscribirse.,Search by ZIP code at findtreatment.gov; call SAMHSA helpline 1-800-662-4357 for live referral help; verify Medicaid acceptance with each provider.,Busque por código postal en findtreatment.gov; llame a la línea SAMHSA 1-800-662-4357; verifique aceptación de Medicaid con cada proveedor.,Online 24/7,statewide|substance-use-treatment|SAMHSA|locator|MAT|reentry,Treatment facility search|Outpatient program locator|Residential treatment finder|MAT provider search|Payment option filtering,,,statewide
19,SC DHEC — Vital Records,id-documentation,Statewide,"The South Carolina Department of Health and Environmental Control Vital Records office issues certified birth certificates, death certificates, and marriage records needed for benefits applications, employment verification, and ID restoration after incarceration. Returning citizens can order records online, by mail, or in person at the Columbia vital records office or through county health departments.","La oficina de Registros Vitales del Departamento de Salud y Control Ambiental de Carolina del Sur emite certificados de nacimiento, defunción y matrimonio certificados necesarios para solicitudes de beneficios, verificación de empleo y restauración de identificación después de la encarcelación.",2600 Bull Street,Columbia,803-898-3630,,https://scdhec.gov/vital-records,Individuals requesting their own vital records or authorized family members; government-issued photo ID required for in-person requests.,Personas que soliciten sus propios registros vitales o familiares autorizados; se requiere identificación con foto emitida por el gobierno para solicitudes en persona.,Order online at scdhec.gov/vital-records; Columbia office 2600 Bull Street; fees apply; needed for DMV ID and benefits verification.,Ordene en línea en scdhec.gov/vital-records; oficina de Columbia 2600 Bull Street; aplican tarifas; necesario para identificación DMV y verificación de beneficios.,Monday–Friday business hours; online ordering 24/7,statewide|id-documentation|vital-records|birth-certificate|reentry,Birth certificate issuance|Death certificate copies|Marriage record requests|Online vital records ordering|County health department referrals,Richland,,statewide
20,One80 Place — Charleston Reentry Housing,housing,Charleston / Charleston County,"One80 Place is the Lowcountry's leading homeless services organization providing emergency shelter, rapid rehousing, permanent supportive housing, and veteran-specific programs for unhoused adults in Charleston County including returning citizens recently released from Charleston County Detention Center or SCDC custody. Case managers connect residents to SC Works, DSS benefits, and local employers through coordinated entry partners. Direct housing services—not a statewide hotline.","One80 Place es la principal organización de servicios para personas sin hogar del Lowcountry que ofrece refugio de emergencia, realojamiento rápido, vivienda de apoyo permanente y programas específicos para veteranos en el condado Charleston incluidos ciudadanos que regresan recién liberados. Los administradores de casos conectan a residentes con SC Works, beneficios DSS y empleadores locales.",35 Walnut Street,Charleston,843-723-9477,,https://one80place.org,Unhoused adults in Charleston County; justice-involved individuals welcome through coordinated entry intake.,Adultos sin hogar en el condado Charleston; personas con antecedentes penales bienvenidas mediante admisión de entrada coordinada.,Call 843-723-9477 for housing intake; veteran programs through SSVF; pairs with Turning Leaf and SC CARES Charleston.,Llame al 843-723-9477 para admisión de vivienda; programas para veteranos a través de SSVF; se vincula con Turning Leaf y SC CARES Charleston.,Contact for intake hours,charleston|housing|shelter|rapid-rehousing|reentry|veterans,Emergency shelter|Rapid rehousing|Permanent supportive housing|Veteran housing|Case management,Charleston,Charleston,single
21,Turning Leaf Project — Charleston,reentry-organizations,Charleston / Charleston County,"Turning Leaf Project provides cognitive-behavioral programming, transitional employment, and case management for justice-involved men returning to Charleston County after incarceration. Participants complete evidence-based classes while working in Turning Leaf's social enterprise printing shop, building job skills and stable employment histories before transitioning to community employers. Men-only reentry program—not emergency shelter for families.","Turning Leaf Project ofrece programación cognitivo-conductual, empleo transicional y manejo de casos para hombres con antecedentes penales que regresan al condado Charleston después de la encarcelación. Los participantes completan clases basadas en evidencia mientras trabajan en la imprenta de empresa social de Turning Leaf.",423 Meeting Street,Charleston,843-972-7399,,https://turningleafproject.com,"Justice-involved men referred from SCDC, Charleston County Jail, or SCDPPPS; program-specific enrollment requirements.","Hombres con antecedentes penales referidos por SCDC, cárcel del condado Charleston o SCDPPPS; requisitos específicos de inscripción.",Call 843-972-7399 for enrollment; referral from probation agent or facility reentry staff preferred; pairs with One80 Place and SC Works Charleston.,Llame al 843-972-7399 para inscripción; se prefiere referencia del agente de probatoria; se vincula con One80 Place y SC Works Charleston.,Monday–Friday business hours; program schedules vary,charleston|reentry|employment|cognitive-behavioral|men|reentry-organizations,Cognitive-behavioral classes|Transitional employment|Social enterprise work|Case management|Employer transition support,Charleston,Charleston|Berkeley|Dorchester,multi
22,Lowcountry Food Bank,food-nutrition,Charleston / Tri-County,"Lowcountry Food Bank distributes millions of pounds of food annually through partner agencies, mobile pantries, and direct programs serving food-insecure households in Berkeley, Charleston, Dorchester, and coastal South Carolina counties. Returning citizens reestablishing food security after release can find partner pantries by ZIP code and access SNAP application assistance through agency partners.","Lowcountry Food Bank distribuye millones de libras de alimentos anualmente a través de agencias aliadas, despensas móviles y programas directos sirviendo hogares con inseguridad alimentaria en Berkeley, Charleston, Dorchester y condados costeros de Carolina del Sur.",2864 Azalea Drive,North Charleston,843-747-8146,,https://lowcountryfoodbank.org,Food-insecure residents of the Lowcountry service area; partner agency registration may require proof of address.,Residentes con inseguridad alimentaria del área de servicio del Lowcountry; el registro en agencias aliadas puede requerir prueba de dirección.,Find partner pantries at lowcountryfoodbank.org/find-food; call 843-747-8146; mobile pantry schedule online.,Encuentre despensas aliadas en lowcountryfoodbank.org/find-food; llame al 843-747-8146; horario de despensa móvil en línea.,Warehouse Monday–Friday; partner pantry hours vary,charleston|food-nutrition|food-bank|pantry|tri-county|reentry,Food distribution|Mobile food pantry|Partner agency network|SNAP outreach|Nutrition programs,Charleston,Berkeley|Charleston|Dorchester|Beaufort|Colleton|Georgetown|Hampton|Jasper,multi
