id,name,category,region,description,description_es,address,city,phone,email,website,eligibility,eligibility_es,notes,notes_es,hours,tags,services,county,served_counties,coverage
11,Alabama Prisoner Reentry Commission,reentry-organizations,Statewide,"The Alabama Prisoner Reentry Commission coordinates state agencies, faith communities, and community-based providers around a shared statewide reentry strategy, connecting justice-involved Alabamians and local reentry coalitions to housing, employment, and treatment partners. The commission convenes policy and coalition-building work—not direct emergency services or a walk-in office for individuals seeking immediate help.","La Comisión de Reinserción de Prisioneros de Alabama coordina agencias estatales, comunidades de fe y proveedores comunitarios en torno a una estrategia estatal compartida de reinserción, conectando a alabameños con antecedentes penales y coaliciones locales de reinserción con aliados de vivienda, empleo y tratamiento. La comisión convoca trabajo de política y coalición, no servicios de emergencia directos.",301 South Ripley Street,Montgomery,,,https://doc.alabama.gov/ReentryCommission,"Justice-involved Alabama residents, agencies, and community partners seeking reentry coalition connections and statewide policy information.","Residentes de Alabama con antecedentes penales, agencias y aliados comunitarios que buscan conexiones con coaliciones de reinserción e información de políticas estatales.",Visit doc.alabama.gov for commission updates and member organization directories; contact local reentry coalitions listed by county for direct services.,Visite doc.alabama.gov para actualizaciones de la comisión y directorios de organizaciones miembros; contacte coaliciones locales de reinserción por condado para servicios directos.,Contact for current meeting schedule,statewide|reentry|coalition|policy|referral-only,Coalition coordination|Reentry policy advocacy|Local reentry partner directory|Interagency collaboration,Montgomery,,statewide
12,Alabama Law Enforcement Agency — Driver License Division,id-documentation,Statewide,"The Alabama Law Enforcement Agency's Driver License Division issues state ID cards and driver's licenses required for employment, housing, and benefits enrollment after release. Returning citizens can apply for an Alabama ID at driver license offices statewide with proof of identity and residency. Not a vital records office—contact the Center for Health Statistics for birth certificates.","La División de Licencias de Conducir de la Agencia de Cumplimiento de la Ley de Alabama emite tarjetas de identificación estatal y licencias de conducir necesarias para empleo, vivienda e inscripción en beneficios después de la liberación. Los ciudadanos que regresan pueden solicitar una identificación de Alabama en oficinas de licencias con prueba de identidad y residencia. No es oficina de registros vitales.",201 South Union Street,Montgomery,334-242-4400,,https://www.alea.gov,Alabama residents with required identity and residency documentation; fees apply for ID cards and licenses; fee waivers may apply for indigent applicants under state law.,Residentes de Alabama con documentación requerida de identidad y residencia; aplican tarifas para tarjetas de identificación; pueden aplicar exenciones para solicitantes indigentes.,Find driver license offices at alea.gov/dld; bring certified birth certificate or passport plus proof of Alabama residency; ask about the indigent ID fee waiver.,Encuentre oficinas en alea.gov/dld; traiga certificado de nacimiento o pasaporte más prueba de residencia; pregunte sobre la exención de tarifa de identificación para indigentes.,Driver license office hours vary; check alea.gov,statewide|id-documentation|ALEA|drivers-license|state-id|reentry,State ID card issuance|Driver's license services|ID renewal|Driver license office locator|Indigent fee waiver information,Montgomery,,statewide
13,Alabama Department of Veterans Affairs,veterans,Statewide,"The Alabama Department of Veterans Affairs helps justice-involved veterans access VA benefits, disability claims, education benefits, and housing resources through county veterans service offices across all 67 counties. Veterans released from incarceration may qualify for VA health care, vocational rehabilitation, and veterans treatment court supports. Benefits navigation and claims advocacy—not emergency shelter.","El Departamento de Asuntos de Veteranos de Alabama ayuda a veteranos con antecedentes penales a acceder a beneficios del VA, reclamaciones de discapacidad, beneficios educativos y recursos de vivienda a través de oficinas de servicios para veteranos del condado en los 67 condados. Los veteranos liberados pueden calificar para atención médica del VA, rehabilitación vocacional y tribunales de tratamiento para veteranos.",1350 Congressman W.L. Dickinson Drive,Montgomery,334-242-5077,,https://va.alabama.gov,Honorably discharged or qualifying Alabama veterans and their dependents; service documentation required.,Veteranos de Alabama con baja honorable o calificados y sus dependientes; se requiere documentación de servicio.,Find your county veterans service office at va.alabama.gov; free benefits claims assistance available at all 67 county offices.,Encuentre su oficina de servicios para veteranos del condado en va.alabama.gov; asistencia gratuita con reclamaciones disponible en las 67 oficinas.,County offices Monday–Friday business hours,statewide|veterans|VA-benefits|reentry|justice-involved-veterans,VA benefits claims assistance|Disability claims navigation|Education benefits guidance|Veterans treatment court support|County VSO referrals,Montgomery,,statewide
14,988 Suicide & Crisis Lifeline — Alabama,healthcare,Statewide,"Free confidential 24/7 crisis support for people experiencing mental health emergencies, suicidal thoughts, or substance use crises in Alabama. Trained specialists provide immediate support and can connect callers to local mobile crisis teams through Alabama Community Mental Health Center partners. Available to anyone—not reentry-specific but essential for justice-involved individuals in crisis.","Apoyo gratuito y confidencial 24/7 para emergencias de salud mental, pensamientos suicidas o crisis por uso de sustancias en Alabama. Especialistas capacitados ofrecen apoyo inmediato y conexión a equipos de crisis móviles a través de aliados de Centros Comunitarios de Salud Mental de Alabama. Disponible para cualquier persona, esencial para personas con antecedentes penales en crisis.",,,988,,https://988lifeline.org,Open to anyone in Alabama experiencing a mental health or suicide crisis; no eligibility restrictions.,Abierto a cualquier persona en Alabama en crisis de salud mental o suicidio; sin restricciones.,Call or text 988; Spanish-language support available. For immediate physical danger call 911.,Llame o envíe texto al 988; soporte en español disponible. Para peligro físico inmediato llame al 911.,Available 24/7,statewide|hotline|crisis|mental-health|988,Crisis counseling|Suicide prevention support|Mental health referrals|Substance use crisis support,,,statewide
15,SAMHSA National Helpline,substance-use-treatment,Statewide,Free confidential 24/7 treatment referral and information service for individuals and families facing mental health or substance use disorders. Provides referrals to local treatment facilities and community organizations in Alabama and nationwide. Spanish-language support available through trained specialists for justice-involved individuals seeking SUD or mental health treatment after release.,Servicio gratuito y confidencial 24/7 de referencia e información para personas y familias con trastornos de salud mental o uso de sustancias. Proporciona referencias a centros de tratamiento locales en Alabama y a nivel nacional. Soporte en español disponible para personas con antecedentes penales que buscan tratamiento después de la liberación.,,,800-662-4357,,https://www.samhsa.gov/find-help/national-helpline,Open to anyone in the United States seeking substance use or mental health treatment information and referrals.,Abierto a cualquier persona en Estados Unidos que busque información y referencias de tratamiento.,TTY 800-487-4889; also use FindTreatment.gov to search Alabama providers online.,TTY 800-487-4889; también use FindTreatment.gov para buscar proveedores en Alabama.,Available 24/7,statewide|hotline|substance-use|treatment-referral|national,Treatment referrals|Substance use information|Mental health resource navigation,,,statewide
16,FindTreatment.gov — Alabama Provider Search,substance-use-treatment,Statewide,"SAMHSA's online treatment locator helping Alabama residents find substance use and mental health treatment providers by location, service type, and payment options including Medicaid. Justice-involved individuals can search outpatient, residential, and MAT providers before or after release from ADOC custody or county jails across all 67 counties.","Localizador en línea de SAMHSA que ayuda a residentes de Alabama a encontrar proveedores de tratamiento de uso de sustancias y salud mental por ubicación, tipo de servicio y opciones de pago incluido Medicaid. Personas con antecedentes penales pueden buscar proveedores ambulatorios, residenciales y TMO antes o después de la liberación.",,,,,https://findtreatment.gov,Open to anyone searching for treatment; provider admission rules vary.,Abierto a cualquier persona que busque tratamiento; las reglas de admisión varían según el proveedor.,"Search findtreatment.gov by Alabama county or city; filter for MAT, outpatient, or residential services.","Busque en findtreatment.gov por condado o ciudad de Alabama; filtre por TMO, ambulatorio o residencial.",Website 24/7,statewide|substance-use|online|MAT|treatment-locator,Treatment provider search|MAT locator|Outpatient program finder|Residential program finder,,,statewide
17,Alabama Appleseed Center for Law & Justice,reentry-organizations,Statewide,"Alabama Appleseed Center for Law & Justice is a nonprofit research and advocacy organization working to reform Alabama's fines-and-fees system, expand fair-chance employment, and improve outcomes for justice-involved Alabamians statewide. Staff publish policy research and connect returning citizens to legal resources and coalition partners—not direct cash assistance or emergency housing.","Alabama Appleseed Center for Law & Justice es una organización sin fines de lucro de investigación y defensa que trabaja para reformar el sistema de multas y tarifas de Alabama, expandir el empleo de segunda oportunidad y mejorar resultados para alabameños con antecedentes penales en todo el estado. El personal publica investigación de políticas y conecta a ciudadanos que regresan con recursos legales y aliados de coalición.","207 Montgomery Street, Suite 425",Montgomery,334-263-0086,,https://www.alabamaappleseed.org,"Justice-involved Alabama residents and advocates seeking fair-chance policy information, legal referrals, or coalition connections.","Residentes de Alabama con antecedentes penales y defensores que buscan información sobre políticas de segunda oportunidad, referencias legales o conexiones con coaliciones.",Visit alabamaappleseed.org for policy reports and fair-chance resources; connects to Legal Services Alabama and local workforce partners.,Visite alabamaappleseed.org para informes de políticas y recursos de segunda oportunidad; conecta con Legal Services Alabama y aliados de fuerza laboral locales.,Monday–Friday business hours,statewide|reentry|fair-chance|policy|referral-only,Fair-chance policy advocacy|Legal resource referrals|Fines and fees reform research|Coalition coordination,Montgomery,,statewide
18,Alabama DHR — Family Assistance Division,financial-assistance,Statewide,"The Family Assistance Division of the Alabama Department of Human Resources administers the Family Assistance (TANF) cash assistance program and coordinates work-support activities for low-income families statewide, including returning parents rebuilding stability after incarceration. County DHR offices process applications, redeterminations, and work-participation requirements alongside SNAP and Medicaid intake through the same MyDHR system.","La División de Asistencia Familiar del Departamento de Recursos Humanos de Alabama administra el programa de asistencia en efectivo Family Assistance (TANF) y coordina actividades de apoyo laboral para familias de bajos ingresos en todo el estado, incluidos padres que regresan y reconstruyen estabilidad tras la encarcelación. Las oficinas DHR del condado procesan solicitudes, redeterminaciones y requisitos de participación laboral junto con SNAP y Medicaid.",50 Ripley Street,Montgomery,334-242-1900,,https://dhr.alabama.gov/family-assistance-division,Low-income Alabama families with dependent children meeting TANF income and work-participation requirements; time limits and work requirements apply.,Familias de Alabama de bajos ingresos con hijos dependientes que cumplan requisitos de ingresos y participación laboral de TANF; aplican límites de tiempo y requisitos laborales.,Apply through mydhr.alabama.gov or your county DHR office; ask about work-participation exemptions for recent releases and caregiving responsibilities.,Solicite a través de mydhr.alabama.gov o su oficina DHR del condado; pregunte sobre exenciones de participación laboral para liberaciones recientes y responsabilidades de cuidado.,County DHR offices Monday–Friday business hours,statewide|benefits|TANF|family-assistance|DHR|reentry,TANF cash assistance|Work-participation coordination|County DHR referrals|Redetermination support,Montgomery,,statewide
19,Cooper Green Mercy Health Services,healthcare,Birmingham metro,"Cooper Green Mercy Health Services is Jefferson County's safety-net outpatient health system providing primary care, dental, pharmacy, and specialty referrals on a sliding fee scale for uninsured and low-income residents, including returning citizens without Medicaid or private insurance. The clinic coordinates with county DHR and local reentry partners to help patients establish ongoing care shortly after release from Jefferson County Jail or ADOC custody.","Cooper Green Mercy Health Services es el sistema de salud ambulatorio de red de seguridad del condado Jefferson que ofrece atención primaria, dental, farmacia y referencias de especialidad con tarifa móvil para residentes sin seguro y de bajos ingresos, incluidos ciudadanos que regresan sin Medicaid ni seguro privado. La clínica coordina con DHR del condado y aliados locales de reinserción.",1515 6th Avenue South,Birmingham,205-930-3300,,https://www.coopergreenhealth.org,Jefferson County residents who are uninsured or underinsured; sliding-fee scale based on household income; proof of residency required.,Residentes del condado Jefferson sin seguro o con seguro insuficiente; escala de tarifas móviles basada en ingresos del hogar; se requiere prueba de residencia.,Call 205-930-3300 to schedule an appointment; bring proof of Jefferson County residency and any release paperwork to your first visit.,Llame al 205-930-3300 para programar una cita; traiga prueba de residencia en el condado Jefferson y documentos de liberación a su primera visita.,"Monday–Friday, 8:00 a.m.–4:30 p.m.",birmingham|jefferson|healthcare|sliding-fee|safety-net|reentry,Primary care|Dental care|Pharmacy services|Specialty referrals|Sliding-fee scale enrollment,Jefferson,Jefferson,single
20,"Pathways, Inc. — Women's Homeless Shelter",housing,Birmingham metro,"Pathways, Inc. operates Birmingham's dedicated emergency shelter and supportive services for women experiencing homelessness, including women recently released from incarceration who need immediate housing stability. Case managers help residents access benefits, employment services, and permanent housing placements while providing meals, case management, and a safe overnight shelter in downtown Birmingham.","Pathways, Inc. opera el refugio de emergencia y servicios de apoyo dedicado de Birmingham para mujeres sin hogar, incluidas mujeres recién liberadas de encarcelación que necesitan estabilidad de vivienda inmediata. Los administradores de casos ayudan a las residentes a acceder a beneficios, servicios de empleo y colocación en vivienda permanente mientras ofrecen comidas y refugio seguro nocturno en el centro de Birmingham.",3600 8th Avenue South,Birmingham,205-322-6640,,https://pathwayshome.org,Adult women experiencing homelessness in the Birmingham area; justice-involved women welcome; intake assessment required.,Mujeres adultas sin hogar en el área de Birmingham; mujeres con antecedentes penales bienvenidas; se requiere evaluación de admisión.,Call 205-322-6640 for shelter intake; connects to Jefferson County DHR and Birmingham workforce partners for ongoing stability.,Llame al 205-322-6640 para admisión al refugio; conecta con DHR del condado Jefferson y aliados de fuerza laboral de Birmingham.,Shelter intake daily; call ahead to confirm availability,birmingham|jefferson|housing|shelter|women|reentry,Emergency shelter for women|Case management|Benefits navigation|Employment referrals|Permanent housing placement assistance,Jefferson,Jefferson,single
21,YWCA Central Alabama — Family Violence Program,family-children,Birmingham metro,"YWCA Central Alabama's Family Violence Program provides emergency shelter, a 24-hour crisis line, counseling, and legal advocacy for survivors of domestic violence and their children across the Birmingham metro area, including justice-involved survivors navigating both safety planning and court obligations. Case managers connect families to housing, benefits, and children's services while maintaining confidential shelter locations.","El Programa de Violencia Familiar de YWCA Central Alabama proporciona refugio de emergencia, línea de crisis 24 horas, consejería y defensa legal para sobrevivientes de violencia doméstica y sus hijos en el área metropolitana de Birmingham, incluidas sobrevivientes con antecedentes penales. Los administradores de casos conectan a las familias con vivienda, beneficios y servicios infantiles manteniendo ubicaciones de refugio confidenciales.",309 23rd Street North,Birmingham,205-322-9922,,https://ywcabham.org,Survivors of domestic violence and their children in the greater Birmingham area; 24-hour crisis line open to anyone seeking safety information.,Sobrevivientes de violencia doméstica y sus hijos en el área metropolitana de Birmingham; línea de crisis de 24 horas abierta a cualquiera que busque información de seguridad.,Call the 24-hour crisis line at 205-322-9922; shelter location is confidential for resident safety.,Llame a la línea de crisis de 24 horas al 205-322-9922; la ubicación del refugio es confidencial por la seguridad de las residentes.,Crisis line available 24/7,birmingham|jefferson|family-children|domestic-violence|shelter|crisis-line,Emergency shelter|24-hour crisis line|Legal advocacy|Counseling|Children's services,Jefferson,Jefferson,single
